Name;Hex (RGB);Red (RGB);Green (RGB);Blue (RGB);Hue (HSL/HSV);Satur. (HSL);Light (HSL);Satur. (HSV);Value (HSV);Image Base64
Mimi pink;#FFDAE9;100%;85%;91%;336°;100%;93%;15%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/wEnABbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXiuwAyPR8FJeAAAAAElFTkSuQmCC
Mindaro;#E3F988;89%;98%;53%;72°;90%;75%;45%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD8fOKC3yysL7LkTkHTuc8z+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF9ACAsYfFDpVAAAAAElFTkSuQmCC
Ming;#36747D;21%;45%;49%;188°;40%;35%;56%;49%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDTjPFG/CysL7LkTkHT+ewz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF4vhAYdxSBpzAAAAAElFTkSuQmCC
Minion yellow;#F5E050;96%;86%;31%;52°;89%;64%;67%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDg/AcbCJiF9UWW3CloOs9+Bt+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8AIySwKCdql23AAAAABJRU5ErkJggg==
Mint;#3EB489;24%;71%;54%;158°;49%;47%;66%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDXBCIIf7OwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsHIAd+Vdy4HAAAAAElFTkSuQmCC
Mint cream;#F5FFFA;96%;100%;98%;150°;100%;98%;4%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QsQ3AIADAMOD/c7sw0ReaCVWyL4gyn7MH36zbAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbwAoFSA1DgoIO+AAAAAElFTkSuQmCC
Mint green;#98FF98;60%;100%;60%;120°;100%;80%;40%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/AdSChfVFltwpaDr32YNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7iOugKVrCq+uwAAAABJRU5ErkJggg==
Misty moss;#BBB477;73%;71%;47%;54°;33%;60%;36%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD0lPFB3SysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF1VmAkpsrJthAAAAAElFTkSuQmCC
Misty rose;#FFE4E1;100%;89%;88%;6°;100%;94%;12%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/yAUjzML6IkvuFDSdZz+Db9btgD8xKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCt4AaFIAyVVj6ujAAAAAElFTkSuQmCC
Moccasin;#FFE4B5;100%;89%;71%;38°;100%;86%;29%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/nRnCCLOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsFFAvrq5FahAAAAAElFTkSuQmCC
Mode beige;#967117;59%;44%;9%;43°;73%;34%;85%;59%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDEdKIGvbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXvESAYDiZ46wAAAAAElFTkSuQmCC
Mona Lisa;#FF948E;100%;58%;56%;3°;100%;78%;44%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QwQnAIADAQHV/+nFgu0LzksLdBCHz7Gfwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvp6cChJhxs4oAAAAASUVORK5CYII=
Morning blue;#8DA399;55%;64%;60%;153°;11%;60%;14%;64%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED/DPDG6CysL7LkTkHT+Zw9+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF3E9Aiw1hLqaAAAAAElFTkSuQmCC
Moss green;#8A9A5B;54%;60%;36%;75°;26%;48%;41%;60%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDmFCEBt7OwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjfhAeHQ6N6xAAAAAElFTkSuQmCC
Mountain Meadow;#30BA8F;19%;73%;56%;161°;59%;46%;74%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDRlCIIdbOwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhFeAdzDcGvpAAAAAElFTkSuQmCC
Mountbatten pink;#997A8D;60%;48%;55%;323°;13%;54%;20%;60%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED2NGAAt7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXgbIAgMPMWMVAAAAAElFTkSuQmCC
MSU green;#18453B;9%;27%;23%;167°;48%;18%;65%;27%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDExPDGv6ZZWF9kyZ2CpvM5e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS+0XQD41gn/PAAAAABJRU5ErkJggg==
Mulberry;#C54B8C;77%;29%;55%;328°;51%;53%;62%;77%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDdvCELYbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqYlAf2gBr70AAAAAElFTkSuQmCC
Mulberry (Crayola);#C8509B;78%;31%;61%;323°;52%;55%;60%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDgBOIHXbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXu5bAhTng1ODAAAAAElFTkSuQmCC
Mustard;#FFDB58;100%;86%;35%;47°;100%;67%;65%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMDltCOGWVhfZMmdgqbz7Gfwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvBP8Cl7QGLNQAAAAASUVORK5CYII=
Myrtle green;#317873;19%;47%;45%;176°;42%;33%;59%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDRtPHB/iysL7LkTkHT+Zw9+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFz/4AX00Xq9cAAAAAElFTkSuQmCC
Mystic;#D65282;84%;32%;51%;338°;62%;58%;62%;84%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDhLCESPbOwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlL9Ag2SFyFiAAAAAElFTkSuQmCC
Mystic maroon;#AD4379;68%;26%;47%;329°;44%;47%;62%;68%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDaTKEKj7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXu+XAcpPmCGbAAAAAElFTkSuQmCC
Nadeshiko pink;#F6ADC6;96%;68%;78%;339°;80%;82%;80%;82%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/ldlAEQJmYX2RJXcKms7z7ME363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbz1zALLmZqFVAAAAABJRU5ErkJggg==
Naples yellow;#FADA5E;98%;85%;37%;48°;94%;67%;62%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDodGOF3yysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFxnFApNTKri6AAAAAElFTkSuQmCC
Navajo white;#FFDEAD;100%;87%;68%;36°;100%;84%;32%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/lUlCC7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsT4Au0uK008AAAAAElFTkSuQmCC
Navy blue;#000080;0%;0%;50%;240°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QwQ3AIBDAsIPFu3pXIC+EZE8QZc18w5l9O+AlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFP+FPAONOeO2AAAAAAElFTkSuQmCC
Navy blue (Crayola);#1974D2;10%;45%;82%;210°;79%;46%;88%;82%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDFbOIUR7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqK7AcB6MSuIAAAAAElFTkSuQmCC
Neon blue;#4666FF;27%;40%;100%;230°;100%;64%;73%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDbtODfAbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlHuAg0SUb5pAAAAAElFTkSuQmCC
Neon green;#39FF14;22%;100%;8%;111°;100%;54%;92%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDDxODfGLOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXrwTAa9DznObAAAAAElFTkSuQmCC
Neon fuchsia;#FE4164;100%;25%;39%;349°;99%;63%;74%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDYxOBfA7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXnznAgWg3wo1AAAAAElFTkSuQmCC
New Car;#214FC6;13%;31%;78%;223°;71%;45%;83%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDJFOEaXbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXuiXAZrMrDbGAAAAAElFTkSuQmCC
New York pink;#D7837F;84%;51%;50%;3°;52%;67%;41%;84%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHXxgkM6T1doXlK4myBknv0Mvlm3A/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgBeOGAjuPWMPzAAAAAElFTkSuQmCC
Nickel;#727472;45%;45%;45%;120°;1%;45%;2%;46%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QwQ3AIBDAsNKRb/8HK5AXQrIniLJm5uPMfzvgJWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBRtCtAG6TdOkEQAAAABJRU5ErkJggg==
Non-photo blue;#A4DDED;64%;87%;93%;193°;67%;79%;31%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/i+lCAh5mYX2RJXcKms5nn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbxWIgLR03eb5QAAAABJRU5ErkJggg==
Nyanza;#E9FFDB;91%;100%;86%;97°;100%;93%;14%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/wxnABbOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXtv+AyaXML/hAAAAAElFTkSuQmCC
Ochre;#CC7722;80%;47%;13%;30°;71%;47%;83%;80%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDJVGISUbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXnp8AciuD0IvAAAAAElFTkSuQmCC
Old burgundy;#43302E;26%;19%;18%;6°;19%;22%;31%;26%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDPEjTgX9QsrC+y5E5B03n2M/hm3Q74E7MCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzghc7WwEDcPjVhwAAAABJRU5ErkJggg==
Old gold;#CFB53B;81%;71%;23%;49°;61%;52%;71%;81%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDWfGMDTbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXusZAiE4KRIkAAAAAElFTkSuQmCC
Old lace;#FDF5E6;99%;96%;90%;39°;85%;95%;9%;99%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOD/N/sBI0NfaCZUyb4gyjz7GXyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQs5KwM5pgu3fQAAAABJRU5ErkJggg==
Old lavender;#796878;47%;41%;47%;304°;8%;44%;14%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEDtHGAfC/RFltwpaDr3twd31uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzhCtAG6nSsJhgAAAABJRU5ErkJggg==
Old mauve;#673147;40%;19%;28%;336°;36%;30%;52%;40%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDRXOAE/xJmYX2RJXcKms7z7ME363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbx4pwFBIz7maAAAAABJRU5ErkJggg==
Old rose;#C08081;75%;50%;51%;359°;34%;63%;33%;75%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHXxgou5WldoXlK4myBknmcPvlm3A/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgBZspAiQEzblNAAAAAElFTkSuQmCC
Old silver;#848482;52%;52%;51%;60°;1%;51%;2%;52%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QwQnAIADAQHX04uCuYF5SuJsgZO79De6s1wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWcAA0CgHuXHpKsQAAAABJRU5ErkJggg==
Olive;#808000;50%;50%;0%;60°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAgklEQVR4nO3QQQkAIADAQLW41a3gXiLcJRibew8urdcBPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgNRwFi2SBBKAAAAABJRU5ErkJggg==
Olive Drab (#3);#6B8E23;42%;56%;14%;80°;61%;35%;75%;56%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDK5OEFzbOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXvDaAYCrskCPAAAAAElFTkSuQmCC
Olive Drab #7;#3C341F;24%;20%;12%;43°;32%;18%;48%;24%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDITPDGv61ZWF9kyZ2CpvPsZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS9T4QDyLt7L2QAAAABJRU5ErkJggg==
Olive green;#B5B35C;71%;70%;36%;59°;38%;54%;49%;71%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHXNbim4X1doXlK4myBknv0Mvlm3A/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgBRDlAiaivnssAAAAAElFTkSuQmCC
Olivine;#9AB973;60%;73%;45%;87°;33%;59%;38%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDy3GAFdbOwvsiSOwVN5z7P4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsEKAik2fec0AAAAAElFTkSuQmCC
Onyx;#353839;21%;22%;22%;195°;4%;22%;7%;22%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QwQnAIADAQHWngvtP5grmJYW7CULmt/fgznod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUHnAIBCSiytK8AAAAASUVORK5CYII=
Opal;#A8C3BC;66%;76%;74%;164°;18%;71%;14%;76%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/kIngg7NZWF9kyZ2CpvM5e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/NGQKJr+Se0AAAAABJRU5ErkJggg==
Opera mauve;#B784A7;72%;52%;65%;319°;26%;62%;28%;72%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED7rKABe7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXvRnAkQ5nxGsAAAAAElFTkSuQmCC
